lnc_id	pc_id	pearson_r	pearson_pval	spearman_rho	spearman_pval	lnc_expr_samples	pc_expr_samples
TCONS_00004098	AT5G51660.1	0.405142867	0.425535925	0.2	0.704	6	4
TCONS_00004098	AT5G51660.2	0.543336616	0.265195548	0.542857143	0.265702624	6	6
TCONS_00004098	AT5G51660.4	0.573893229	0.233667011	0.657142857	0.156174927	6	6
TCONS_00004098	AT5G52940.1	0.883696226	0.019503256	0.828571429	0.041562682	6	6
TCONS_00004098	AT5G63800.1	0.706768305	0.116370503	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G66170.2	-0.517684432	0.292842334	-0.371428571	0.468478134	6	6
TCONS_00004098	AT5G66610.1	0.740737806	0.09211193	0.714285714	0.110787172	6	5
TCONS_00004098	AT5G67130.1	0.886234354	0.01867772	0.771428571	0.072396501	6	6
TCONS_00004098	AT5G01930.1	0.751255093	0.085115618	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G02090.1	0.787539582	0.062913973	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G03260.1	0.662077818	0.151993198	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G09210.1	-0.912727768	0.011092312	-0.828571429	0.041562682	6	6
TCONS_00004098	AT5G13170.1	0.897262617	0.01529026	0.885714286	0.018845481	6	6
TCONS_00004098	AT5G15720.1	-0.813932177	0.048710903	-0.828571429	0.041562682	6	6
TCONS_00004098	AT5G23240.1	0.925093677	0.008206288	0.942857143	0.004804665	6	6
TCONS_00004098	AT5G24420.1	-0.564951557	0.242730533	-0.485714286	0.328723032	6	6
TCONS_00004098	AT5G38610.1	0.698675625	0.122514988	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G40020.1	0.689103905	0.129959527	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G43040.1	0.649138428	0.16305956	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G50600.1	-0.534827217	0.274250204	-0.714285714	0.110787172	6	5
TCONS_00004098	AT5G51810.1	-0.339952829	0.509714578	-0.6	0.208	6	5
TCONS_00004098	AT5G54740.1	-0.553899506	0.254120216	-0.771428571	0.072396501	6	6
TCONS_00004098	AT5G54960.1	0.947039702	0.004132918	0.942857143	0.004804665	6	6
TCONS_00004098	AT5G57785.1	0.653782265	0.159050088	0.828571429	0.041562682	6	6
TCONS_00004098	AT5G57785.2	0.643327857	0.1681355	0.6	0.208	6	6
TCONS_00004098	AT5G61680.1	-0.94529948	0.004406384	-0.942857143	0.004804665	6	6
TCONS_00004098	AT5G65140.3	-0.596397136	0.211470409	-0.542857143	0.265702624	6	6
TCONS_00004098	AT5G65140.1	-0.952381182	0.003347339	-0.828571429	0.041562682	6	6
TCONS_00004098	AT5G65140.2	-0.361827718	0.480943539	-0.314285714	0.544093294	6	6
TCONS_00004098	ATCG00280.1	-0.674772513	0.141459247	-0.6	0.208	6	6
TCONS_00004098	ATCG00490.1	-0.580384144	0.227173752	-0.542857143	0.265702624	6	6
TCONS_00004098	ATCG00540.1	-0.729630855	0.09976729	-0.771428571	0.072396501	6	6
TCONS_00004098	ATCG00680.1	-0.598740402	0.209210641	-0.542857143	0.265702624	6	6
TCONS_00004098	ATCG00040.1	-0.627637993	0.182165555	-0.6	0.208	6	6
TCONS_00004098	ATCG00330.1	-0.831050702	0.040404565	-0.771428571	0.072396501	6	6
TCONS_00004097	AT1G04600.1	-0.947093744	0.004124564	-0.6	0.208	6	6
TCONS_00004097	AT1G11170.3	0.744248697	0.089748909	0.771428571	0.072396501	6	5
TCONS_00004097	AT1G11170.1	0.64845406	0.163653999	0.485714286	0.328723032	6	6
TCONS_00004097	AT1G11170.4	0.569942192	0.237655042	0.6	0.208	6	6
TCONS_00004097	AT1G11170.6	0.268885415	0.606392	0.028571429	0.957154519	6	4
TCONS_00004097	AT1G11170.2	0.227558584	0.664553947	0.2	0.704	6	5
TCONS_00004097	AT1G11600.1	-0.367222546	0.473926601	-0.542857143	0.265702624	6	6
TCONS_00004097	AT1G13130.1	0.740732474	0.092115539	0.542857143	0.265702624	6	6
TCONS_00004097	AT1G23000.1	-0.307808201	0.55286948	-0.144942759	0.78410837	6	4
TCONS_00004097	AT1G23000.2	-0.554835406	0.253147802	-0.6	0.208	6	4
TCONS_00004097	AT1G26730.2	-0.629887992	0.18012484	-0.771428571	0.072396501	6	6
TCONS_00004097	AT1G26730.1	-0.892130808	0.016826074	-0.942857143	0.004804665	6	6
TCONS_00004097	AT1G30840.2	-0.394806948	0.438559356	-0.579771036	0.227783957	6	4
TCONS_00004097	AT1G32910.1	-0.711426653	0.112896453	-0.828571429	0.041562682	6	6
TCONS_00004097	AT1G51780.1	-0.770223009	0.073130377	-0.840668002	0.036057573	6	4
TCONS_00004097	AT1G58370.1	0.815696856	0.047821301	0.657142857	0.156174927	6	6
TCONS_00004097	AT1G61120.1	-0.799740601	0.056140156	-0.657142857	0.156174927	6	5
TCONS_00004097	AT1G62500.1	-0.565347324	0.242326491	-0.6	0.208	6	6
TCONS_00004097	AT1G74430.1	-0.697034668	0.123777699	-0.6	0.208	6	6
TCONS_00004097	AT1G78600.1	0.985976301	0.000293617	1	0	6	6
TCONS_00004097	AT1G78600.2	0.891974355	0.016874005	0.942857143	0.004804665	6	6
TCONS_00004097	AT1G01060.7	-0.844969387	0.034188696	-0.828571429	0.041562682	6	6
TCONS_00004097	AT1G01060.1	-0.902646711	0.013755154	-0.885714286	0.018845481	6	6
TCONS_00004097	AT1G01060.4	-0.826926445	0.042339521	-0.828571429	0.041562682	6	6
TCONS_00004097	AT1G01060.2	-0.7617419	0.078387794	-0.485714286	0.328723032	6	6
TCONS_00004097	AT1G01060.8	-0.51528301	0.295483576	-0.657142857	0.156174927	6	5
TCONS_00004097	AT1G02335.1	0.82703896	0.042286172	0.657142857	0.156174927	6	6
TCONS_00004097	AT1G03780.2	-0.570141835	0.237452888	-0.6	0.208	6	6
TCONS_00004097	AT1G03780.1	-0.455996564	0.36341349	-0.771428571	0.072396501	6	5
TCONS_00004097	AT1G04340.1	-0.914963131	0.010539441	-0.942857143	0.004804665	6	6
TCONS_00004097	AT1G05300.1	0.907821361	0.012353736	0.942857143	0.004804665	6	6
TCONS_00004097	AT1G05300.2	0.735165168	0.095918807	0.6	0.208	6	6
TCONS_00004097	AT1G05310.1	0.821360812	0.045017576	0.657142857	0.156174927	6	6
TCONS_00004097	AT1G09157.1	-0.964234961	0.001895833	-0.828571429	0.041562682	6	6
TCONS_00004097	AT1G14870.1	-0.786823537	0.063322489	-0.771428571	0.072396501	6	6
TCONS_00004097	AT1G14870.2	-0.882053201	0.020046766	-0.885714286	0.018845481	6	6
TCONS_00004097	AT1G19715.1	-0.711161928	0.113092639	-0.771428571	0.072396501	6	6
TCONS_00004097	AT1G19715.2	0.402960987	0.428274429	0.6	0.208	6	6
TCONS_00004097	AT1G32100.1	0.701812951	0.120116547	0.657142857	0.156174927	6	6
TCONS_00004097	AT1G51940.1	0.856574262	0.029381212	0.828571429	0.041562682	6	6
TCONS_00004097	AT1G52030.1	-0.623013841	0.186389481	-0.542857143	0.265702624	6	6
TCONS_00004097	AT1G52030.3	-0.723267601	0.104275034	-0.771428571	0.072396501	6	6
TCONS_00004097	AT1G52030.2	-0.526511902	0.283210588	-0.6	0.208	6	6
TCONS_00004097	AT1G52040.1	-0.720546335	0.10622965	-0.714285714	0.110787172	6	6
TCONS_00004097	AT1G54020.2	-0.472500995	0.34399313	-0.028571429	0.957154519	6	6
TCONS_00004097	AT1G54020.4	-0.535601583	0.273421386	-0.314285714	0.544093294	6	5
TCONS_00004097	AT1G54020.5	-0.713554537	0.111324936	-0.885714286	0.018845481	6	6
TCONS_00004097	AT1G54020.1	-0.121713267	0.818331636	0.376851173	0.46148284	6	4
TCONS_00004097	AT1G54790.3	0.786725235	0.063378667	0.714285714	0.110787172	6	6
TCONS_00004097	AT1G54790.1	0.812247522	0.049567259	0.657142857	0.156174927	6	6
TCONS_00004097	AT1G56710.1	0.832950488	0.039527506	0.6	0.208	6	6
TCONS_00004097	AT1G60030.1	-0.802614969	0.054596131	-0.771428571	0.072396501	6	6
