target_id	60_compatible1	60_compatible2	60_compatible3	60_incompatible1	60_incompatible3	60_incompatible4
AT4G02570.1	29.5921	25.5704	17.0772	27.8006	22.0076	21.4024
AT4G02570.2	116.768	114.246	93.3096	112.285	104.067	103.386
AT4G02570.3	67.5661	41.963	73.7417	55.2422	67.5395	64.1546
AT4G02570.4	1.42787	2.15337	0.515721	1.59863	1.25717	1.32221
AT4G02580.1	134.456	145.1	126.874	124.209	145.804	141.374
AT4G02590.1	22.8777	19.0231	18.3507	24.2974	23.9684	20.7107
AT4G02590.2	0.202951	0.343248	0.485205	0.833338	0.331846	0.228928
AT4G02600.1	16.6791	16.7288	10.8437	12.2744	9.461	12.2588
AT4G02600.2	12.3577	9.16323	8.94934	7.96586	11.2382	8.05876
AT4G02610.1	11.2188	14.0857	12.3232	12.7419	11.8088	16.3159
AT4G02620.1	298.8	304.857	310.17	301.633	319.517	303.428
AT4G02630.1	5.25242	4.78925	2.22172	3.2576	3.69438	3.37228
AT4G02640.1	5.42765	5.21417	1.49487	2.43185	3.58303	0.999691
AT4G02640.2	8.67569	9.19462	8.08328	7.38153	8.81804	8.96005
AT4G02640.4	12.5773	11.1212	9.8455	9.63673	11.5232	10.5327
AT4G02650.1	331.556	277.905	321.585	285.981	271.638	277.419
AT4G02655.1	11.4055	10.3829	18.2847	16.7587	11.8672	19.8907
AT4G02655.2	0	2.21714	1.26765	1.80797	1.23847	0.931557
AT4G02660.2	1.19283	1.11053	1.11597	0.540722	0.457706	0.579974
AT4G02680.1	16.4028	16.0935	12.7262	14.2628	16.2119	17.1825
AT4G02700.1	0.571375	1.1665	0.53109	0.255921	0.319217	0.328245
AT4G02710.1	4.99658	4.6189	2.58949	3.86609	3.89591	4.80043
AT4G02715.1	24.9607	26.3293	25.447	22.9769	24.5096	23.9767
AT4G02720.1	23.9727	22.6701	17.6862	21.2457	25.9164	23.2712
AT4G02725.2	1.38953	1.7036	1.31341	1.1774	1.11495	1.32639
